Scheme Code,Scheme Name,CAGR_3Y,Sharpe_Ratio,Alpha,Expense_Ratio,Maximum_Drawdown,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,CAGR_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Overall_Rank
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,,,,2.45,,,,,236.0,,,,,2.4896265560165975,,,150
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,,,,1.68,,,,,159.0,,,,,34.439834024896264,,,151
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,,,,1.04,,,,,95.0,,,,,60.99585062240664,,,152
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,,,,1.67,,,,,158.0,,,,,34.85477178423236,,,153
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,,,,0.75,,,,,66.0,,,,,73.02904564315352,,,154
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,,,,2.29,,,,,220.0,,,,,9.12863070539419,,,155
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,,,,1.04,,,,,95.0,,,,,60.99585062240664,,,156
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,,,,0.24,,,,,15.0,,,,,94.1908713692946,,,157
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,,,,0.53,,,,,44.0,,,,,82.15767634854771,,,158
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,,,,2.47,,,,,238.0,,,,,1.6597510373443984,,,159
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,,,,2.39,,,,,230.0,,,,,4.979253112033195,,,160
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,,,,1.54,,,,,145.0,,,,,40.24896265560166,,,161
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,,,,0.28,,,,,19.0,,,,,92.5311203319502,,,162
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,,,,0.3,,,,,21.0,,,,,91.70124481327801,,,163
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,,,,1.11,,,,,102.0,,,,,58.09128630705395,,,164
